"Plot","Abax_parallelepipedus","Badister_bullatus","Harpalus_tardus","Leistus_rufomarginatus","Nebria_brevicolis","Nebria_salina","Stomis_pumicatus","Carabus_nemoralis","Carabus_violaceux","Notiophilus_biguttats","Oxypselaphus_obscurus","Pterostichus_madidus","Notiophilus_rufipes","Carabus_problematicus","Pterostichus_oblongopunctatus","Bembidion_lampros","Harpalus_latus","Calathus_rotundicollis","Pterostichus_niger","Limodromus_assimilis","Loricera_pilicornis","Platynus_livens","Pterostichus_strenuus","Carabus_granulatus","Pterostichus_minor","Calosoma_inquisitor","Asaphidion_curtum","Poecillus_cupreus","Pterostichus_melanarius","Badister_lacertosus","Poecillus_versicolor","Pterostichus_vernalis","Notiophilus_quadripunctatus","Bembidion_tetracolum","Leistus_fulvibarbis","Amara_convexior","Pterostichus_anthracinus","Harpalus_rufipes","Bembidion_guttula","Pterostichus_nigrita","Trechus_quadristriatus ","Leistus_ferrugineus","Amara_lunicollis","Amara_plebeja","Notiophilus_substriatus"
40,8,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,10,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,10,0,0,1,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,3,0,0,0,7,0,1,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
44,11,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,1,14,9,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
46,25,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
48,4,1,0,0,23,28,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
49,20,0,0,0,8,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
50,6,0,0,0,9,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,2,4,0,7,2,0,6,0,0,7,0,11,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,1,0,0,0,2,2,1,2,0,0,0,2,0,0,29,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
